Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
PWD,PW-SNR-E-Tender Giriraj-322-29 dt 16.04.2025,2025_PWD_104064_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule E,18-Apr-2025 09:00 AM,24-Apr-2025 11:30 AM,18-Apr-2025 09:00 AM,24-Apr-2025 10:00 AM,,,18-Apr-2025 09:00 AM,24-Apr-2025 10:00 AM,15-May-2025 11:30 AM,"5,36,200",No,fixed,,Nil,Nil,1.0,Certificate Details,Permanent Account Number,Permanent Account Number Details,,1.0,ICICI BANK,"5,000",Nil,Nil,No,Executive Engineer HPPWD Division Sunder Nagar,Executive Engineer HPPWD Division Sunder Nagar,"Annual repair and maintenance of NH-154 i.e. old NH-21, Chandigarh Mandi Manali road between KM 173/900 to 179/600.","Providing and laying  BM for correction layer and 40mm thick bitumen concrete, road marking, cat eyes, delineator in KM 173/900 to 179/600, total length is 6.100 KM.",Please refer Tender documents.,,"2,68,09,130",Civil Works - Roads,,Tender,75.0,90.0,Sunder Nagar,175018.0,,,,HPPWD Sunder Nagar,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule E,,,,,,,,,,,,,,,,2.0,Certificate Details,Sales Tax/VAT,Sales Tax/VAT,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,3.0,Certificate Details,Bidders Address Format,Bidders Address Format Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,GST registration alongwith latest uploaded return as per  general rules No. 21,,,,,,,,,,,,,,,,4.0,Certificate Details,Affidavit regarding correctness of bid,Required in tender document in bidder file 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Detail of work done / Work in hand / Bidding Capacity as per general rules No. 16 and 26.,,,,,,,,,,,,,,,,5.0,Machinery Details,Machinery Details,Machinery Details,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Latest ITR Return,,,,,,,,,,,,,,,,6.0,Miscellaneous,Laboratory Equipment Details,Laboratory Equipment Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant alongwith documentary proof refer schedule F with reference to clause",,,,,,,,,,,,,,,,7.0,Miscellaneous,Existing Work Order Commitment,Ongoing Work Order Details with percentage of work completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 refer General Rules No. 26.7,,,,,,,,,,,,,,,,8.0,Work Details,Work Completed Certificate Copies,Work Completed Certificate Copies,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Other important documents as specified in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
