Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
PWD,2278-87 dated 14.05.2025,2025_PWD_106174_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,IFB,24-May-2025 05:40 PM,04-Jun-2025 11:30 AM,24-May-2025 05:45 PM,04-Jun-2025 10:30 AM,,,24-May-2025 05:45 PM,04-Jun-2025 10:30 AM,16-Jun-2025 10:30 AM,"6,66,000",No,fixed,,Nil,Nil,1.0,corrigendum,Date,,1,Certificate Details,Permanent Account Number,Permanent Account Number Details,,1.0,ICICI BANK,"7,000",Nil,Nil,No,Executive Engineer HPPWD Division Kasauli,Executive Engineer HPPWD Division Kasauli,C/O Link road to Rehala to Mathan via Shard in Km. 0/00 to 2/735,"CO Link road to Rehala to Mathan via Shard in Km. 0/00 to 2/735.(SH Removal of Formation Deficiency, Retainning Structures, P/L cross drainage works, P/L GSB, WMM, Tarring, V Shape side drain, CO Parapets, Road Sign boards etc. in Km. 0/00 to 2/735).",As per tender document,,"3,33,00,108",Civil Works,,Tender,75.0,,Kasauli,173204.0,,,,HPPWD Division Kasauli,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,2,Certificate Details,Registration Certificate,Registration Certificate Details,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,3,Certificate Details,Sales Tax/VAT,Sales Tax/VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Certificate Details,Income Tax Certificate,Income Tax Certificate Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Certificate Details,Affidavit regarding correctness of bid,Required in tender document in bidder file 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Certificate Details,Affidavit regarding No Near Relative working in department,Affidavit regarding No Near Relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Financial Details,Annual Turn over certificates from CA,Annual Turn over certificates from CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Financial Details,Payment Certificates,"Certificates pertaining to only eligible year for bidcapacity, no tds certificates acceptable, those for which turnover uploaded for Civil Works only",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Litigation Details,Litigation Details,Litigation Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Machinery Details,Machinery Details,Machinery Details,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Machinery Details,Machinery Lease/Hire agreement copy,Machinery Lease/Hire agreement copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Man Power Details,Details of Technical Manpower,Details of Technical Manpower,HP_TechnicalManPowerDetails.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,Miscellaneous,Laboratory Equipment Details,Laboratory Equipment Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,Miscellaneous,Existing Work Order Commitment,Ongoing Work Order Details with percentage of work completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Work Details,Works Completed,Works Completed Details,HP_WorksCompleted.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,Work Details,Existing Commitments,Existing Commitments Details,HP_ExistingCommitments.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,Work Details,Works for which Bids submitted,Works for which Bids submitted Details,HP_BidsAlreadySubmitted.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Work Details,Quantity of Work Done,Quantity of Work Done Details,HP_QuantityWorkDone.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Work Details,Work Completed Certificate Copies,Work Completed Certificate Copies,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
