Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM-HPCDP - JICA-ODA - Solan,NoAgrSLNDPMUJICAODAPhaseII G 42 1745 dt07.01.2025,2025_HPCDP_97628_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form and earnest money as indicated in NIT Sr. No. 3(a) i,07-Jan-2025 05:00 PM,22-Jan-2025 11:00 AM,07-Jan-2025 05:00 PM,21-Jan-2025 05:00 PM,,,07-Jan-2025 05:00 PM,21-Jan-2025 05:00 PM,03-Feb-2025 02:40 PM,"44,100",No,fixed,,"District Project Manager, HPCDP JICA-ODA, Solan",Solan,1.0,DD - Demand Draft,"1,500","District Project Manager, HPCDP JICA-ODA, Solan",Solan,No,"District Project Manager, HPCDP JICA-ODA, Solan","O/o District Project Manager, HPCDP (Phase-II), JICA-ODA, Solan",Improvement Of Flow Irrigation Scheme Nehrti Bhagot Under HPCDP JICA-ODA At Village Nehrti Bhagot GP Nehrti Bhagot Tehsil Rajgarh Distt Sirmour HP,Improvement Of Flow Irrigation Scheme Nehrti Bhagot Under HPCDP JICA-ODA At Village Nehrti Bhagot GP Nehrti Bhagot Tehsil Rajgarh Distt Sirmour HP,Please refer Tender documents.,,,Civil Works - Others,,Tender,90.0,,Village Nehrti Bhagot GP Nehrti Bhagot Tehsil Rajg,173101.0,V.P.O Chambaghat Distt. Solan (H.P.)173213,"O/o District Project Manager, HPCDP (Phase-II), JICA-ODA, Solan",15-Jan-2025 11:00 AM,V.P.O Chambaghat Distt. Solan (H.P.)173213,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) ii,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Should have experience of minimum 3 years as indicated in NIT Sr. No. 3 (a) iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily completed irrigation/ water supply works as indicated in NIT Sr. No. 3(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Financial Statements as indicated in NIT Sr. No. 3(a) v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Average annual turnover as indicated in NIT Sr. No. 3(a) vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Solvency as indicated in NIT Sr. No. 3(a) vii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Technical Proposal as indicated in NIT Sr. No. 3(a) viii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Bidders Qualification Forms as indicated in NIT Sr. No. 3(a) ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Valid PAN Card as indicated in NIT Sr. No. 3(a) x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Should be registered under Goods and service tax as indicated in NIT Sr. No. 3(a) xi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit for not panelized and terminated under HPCDP JICA Phase-I as indicated in NIT Sr. No. 3(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Tender Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
