object_id,DraughtlostC,timeperiod
02-032-00050,0,2022_07
02-031-00064,2,2020_07
02-032-00053,0,2021_08
02-033-00045,0,2021_08
02-024-02130,0,2023_08
02-030-02106,0,2023_08
02-033-00043,0,2023_08
02-033-00045,0,2023_08
02-023-00004,0,2023_07
02-023-00006,0,2023_07
02-024-02110,0,2023_07
02-024-02114,0,2023_07
02-024-02128,0,2023_07
02-026-00011,0,2023_07
02-026-00012,4,2023_07
02-026-00014,4,2023_07
02-026-00015,7,2023_07
02-033-00034,0,2023_07
02-033-00047,0,2023_07
02-034-00009,0,2023_07
02-034-00010,0,2023_07
02-034-01705,0,2023_07
02-030-02106,0,2021_07
02-033-00043,0,2020_08
