object_id,Total_Animal_Affected
101.0,0.0
102.0,0.0
103.0,0.0
104.0,0.0
105.0,0.0
109.0,0.0
110.0,0.0
111.0,0.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,0.0
116.0,0.0
117.0,0.0
118.0,0.0
119.0,0.0
120.0,0.0
121.0,0.0
122.0,1001.0
123.0,0.0
124.0,0.0
126.0,18000.0
127.0,0.0
128.0,0.0
129.0,0.0
130.0,4750.0
131.0,7220.0
132.0,0.0
133.0,1670.0
134.0,0.0
135.0,0.0
136.0,0.0
137.0,0.0
138.0,0.0
139.0,0.0
140.0,0.0
141.0,30320.0
142.0,26655.0
143.0,0.0
144.0,0.0
145.0,37170.0
146.0,6444.0
147.0,0.0
150.0,59092.0
151.0,26474.0
152.0,120296.0
153.0,16409.0
154.0,0.0
155.0,0.0
156.0,0.0
157.0,0.0
158.0,7940.0
159.0,0.0
160.0,70986.0
161.0,0.0
162.0,0.0
163.0,0.0
164.0,0.0
165.0,0.0
166.0,19392.0
167.0,0.0
168.0,0.0
169.0,4134.0
170.0,0.0
171.0,0.0
172.0,11030.0
173.0,7270.0
174.0,5250.0
175.0,0.0
176.0,0.0
177.0,0.0
178.0,0.0
179.0,0.0
181.0,0.0
184.0,0.0
185.0,0.0
186.0,0.0
187.0,0.0
188.0,0.0
189.0,0.0
190.0,0.0
191.0,0.0
192.0,0.0
193.0,0.0
194.0,0.0
195.0,0.0
196.0,0.0
197.0,0.0
198.0,0.0
199.0,0.0
200.0,117054.0
201.0,0.0
202.0,60288.0
205.0,0.0
206.0,0.0
207.0,15605.0
208.0,0.0
209.0,0.0
210.0,0.0
211.0,0.0
212.0,0.0
213.0,0.0
214.0,0.0
215.0,7000.0
216.0,0.0
217.0,0.0
219.0,0.0
220.0,0.0
221.0,12661.0
222.0,0.0
223.0,0.0
224.0,30010.0
225.0,0.0
226.0,0.0
227.0,0.0
228.0,0.0
230.0,0.0
231.0,0.0
233.0,0.0
234.0,0.0
238.0,0.0
239.0,13550.0
241.0,0.0
245.0,0.0
246.0,0.0
247.0,0.0
248.0,0.0
249.0,0.0
250.0,0.0
251.0,0.0
252.0,0.0
253.0,0.0
254.0,0.0
255.0,0.0
256.0,0.0
257.0,16745.0
259.0,0.0
260.0,0.0
261.0,0.0
262.0,0.0
264.0,0.0
265.0,0.0
266.0,92600.0
268.0,0.0
269.0,108969.0
270.0,0.0
271.0,0.0
272.0,0.0
273.0,3500.0
275.0,0.0
276.0,6310.0
277.0,15850.0
278.0,0.0
279.0,0.0
280.0,78920.0
281.0,101992.0
