Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/DB/2025-26-6490-95 Dated 03-02-2026,2026_HPSEB_130493_1,Yes,Open Tender,Percentage,Services,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Receipt of tender document cost to be attached,05-Mar-2026 05:00 PM,16-Mar-2026 03:00 PM,05-Mar-2026 05:00 PM,16-Mar-2026 10:30 AM,,,05-Mar-2026 05:00 PM,16-Mar-2026 10:30 AM,"6,149",No,fixed,,Nil,Nil,1.0,Date Corrigendum-1,Date,,1.0,ICICI BANK,590.0,Nil,Nil,No,Office of Sr. Executive Engineer HPSEBL ED Karsog,Office of Sr. Executive Engineer HPSEBL ED Karsog,Tender for providing retaining wall to 25 KVA 22/0.4 KV S/STN. LWSS Timber factory damaged due to heavy rain and land slide on dated 30.06.2025 and 01.07.2025 under electrical sub division HPSEBL Karsog..,Tender for providing retaining wall to 25 KVA 22/0.4 KV S/STN. LWSS Timber factory damaged due to heavy rain and land slide on dated 30.06.2025 and 01.07.2025 under electrical sub division HPSEBL Karsog.,Please refer tender document,,"2,45,941",Supply and Erection,Civil Work,Tender,180.0,30.0,Karsog,175011.0,,,,Office of Sr. Executive Engineer HPSEBL ED Karsog,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Receipt of EMD	 deposited to be attached,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,The contractor registered with HPPWD/JSV/CPWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit to be attached for non-blacklisting by any agency/govt department/board.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Self-declaration to be attached in plain paper for no litigation in Govt./ Semi Govt. institution.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"Copy of registration of PAN, GST,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"Cancelled Check, Contact no. and Email ID as per bid document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
