Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
PWD,PWD/BN/NIT/2024-25/-336-85 dated 07.04.2025,2025_PWD_103672_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form and EMD as mentioned in SBD,09-Apr-2025 05:00 PM,22-Apr-2025 11:00 AM,09-Apr-2025 05:00 PM,22-Apr-2025 10:30 AM,,,09-Apr-2025 05:00 PM,22-Apr-2025 10:30 AM,23-Apr-2025 03:00 PM,"39,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,500.0,Nil,Nil,No,Executive Engineer,HPPWD Division Baijnath,Reconstruction/Restoration on Barot Polling Road km 0/00 to 8/050,Repair of 6.00 mtr. Span Slab Culvert at RD 3/080,Please refer Tender documents.,,"19,48,445",Civil Works,,Tender,75.0,,Baijnath,176125.0,,,,HPPWD Division Baijnath,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,GST Registration and PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Machinery with proof of ownership as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Form No 7-8 duly signed on Judicial Paper. (in original),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid for work (Name of work) is correct in all res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Similar Nature work done 40 percent of the estimated cost as mentioned SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
