Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
PWD,8049-8098,2025_PWD_121471_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,UTR nos of EMD and Cost of Tender Form,22-Nov-2025 06:00 PM,29-Nov-2025 11:30 AM,22-Nov-2025 06:00 PM,29-Nov-2025 10:30 AM,,,22-Nov-2025 06:00 PM,29-Nov-2025 10:30 AM,03-Dec-2025 03:35 PM,"3,05,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"5,000",Nil,Nil,Yes,EE NH Rampur,Executive Engineer NH Division HPPWD Rampur,RESTOATION TO RAIN DAMAGES ON  NH-305 SAINJ-LUHRI-AUT ROAD KM 37.500 TO 53.00 AND  63.00 TO 72.00 IN THE STATE OF HIMACHAL PRADESH SH  CONSTRUCTION OF RETAINING WALL and BREAST WALL IN PCC AND WIRE CRATE AT VARIOUS REACHES BETWEEN KM 37.500 TO 53.00,RESTOATION TO RAIN DAMAGES ON  NH-305 SAINJ-LUHRI-AUT ROAD KM 37.500 TO 53.00 AND  63.00 TO 72.00 IN THE STATE OF HIMACHAL PRADESH SH  CONSTRUCTION OF RETAINING WALL and BREAST WALL IN PCC AND WIRE CRATE AT VARIOUS REACHES BETWEEN KM 37.500 TO 53.00,Please refer Tender documents.,,"1,52,34,970",Civil Works - Highways,,Tender,90.0,,Rampur,172001.0,,,,EE NH Rampur,No,No,AOC
,,,,,,,,,,,,,,,,.pdf,"Contractors Registration, GST, EPF and PAN",,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"EPF, G.S.T. and Income tax clearance certificate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool Plant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Financial reports for the last five years balance sheet profit and loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive Eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder should not have more than 2contracts at a time each of Rs.100.00 lac or mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Calculate the Bid capacity and Other documents required as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
