Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
PWD,J/ Mukhi No 6289-90 Dated 19.11.2025,2025_PWD_121613_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form / Earnest money.,24-Nov-2025 10:00 AM,01-Dec-2025 02:30 PM,24-Nov-2025 10:00 AM,01-Dec-2025 02:00 PM,,,24-Nov-2025 10:00 AM,01-Dec-2025 02:00 PM,18-Dec-2025 11:30 AM,"4,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,350.0,Nil,Nil,Yes,"Executive Engineer HP,PWD Division Jawalamukhi","Executive Engineer HP,PWD Division Jawalamukhi",Restoration of rain damages on Adhe-Di-Hattian to Dhanot road km-0/000 to 2/800 and Kutiara to Jijal Via Ambi Jakhota Adhwani road km-0/000 to 6/300,Restoration of damages crust on verious RDs),As per SBD,,"2,05,313",Civil Works,,Tender,30.0,30.0,"Executive Engineer HP,PWD Division Jawalamukhi",176031.0,,,,"Executive Engineer HP,PWD Division Jawalamukhi",No,No,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of  Registration latest renewal.,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of Pan Card and ITR .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,GST  Number and   latest GST  return.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,List of machinery equipment as per SBD with proof .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit. showing the detail of near relatives working as officer and official in HPPWD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,An Affidavit that  information   furnished with the bid is true and  correct  in all respect .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Work done certificate of working during  last five years duly signed by the concerned Executive Engi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,List of work in hand/ existing commitments   counter signed by the Executive Engineer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,EPF registration  with latest  return.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
