object_id,Relief_Distribution_Liquid_BabyFood_In_Unit
101.0,0.0
102.0,0.0
103.0,0.0
104.0,0.0
105.0,0.0
109.0,0.0
110.0,1.0
111.0,1.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,1.0
116.0,1.0
117.0,0.0
118.0,0.0
119.0,0.0
120.0,0.0
121.0,1.0
122.0,0.0
123.0,0.0
124.0,0.0
126.0,5.0
127.0,0.0
128.0,12.0
129.0,14.0
130.0,0.0
131.0,0.0
132.0,0.0
133.0,0.0
134.0,7.0
135.0,10.0
136.0,2.0
137.0,4.0
138.0,1.0
139.0,3.0
140.0,0.0
141.0,3.0
142.0,4.0
143.0,4.0
144.0,0.0
145.0,1.0
146.0,1.0
147.0,5.0
150.0,2.0
151.0,2.0
152.0,3.0
153.0,2.0
154.0,6.0
155.0,1.0
156.0,4.0
157.0,0.0
158.0,9.0
159.0,6.0
160.0,5.0
161.0,4.0
162.0,10.0
163.0,5.0
164.0,3.0
165.0,15.0
166.0,2.0
167.0,0.0
168.0,0.0
169.0,0.0
170.0,0.0
171.0,0.0
172.0,0.0
173.0,0.0
174.0,0.0
175.0,0.0
176.0,0.0
177.0,0.0
178.0,0.0
179.0,0.0
181.0,12.0
184.0,2.0
185.0,3.0
186.0,1.0
187.0,2.0
188.0,3.0
189.0,10.0
190.0,8.0
191.0,10.0
192.0,4.0
193.0,3.0
194.0,22.0
195.0,15.0
196.0,17.0
197.0,11.0
198.0,0.0
199.0,0.0
200.0,0.0
201.0,0.0
202.0,0.0
205.0,0.0
206.0,0.0
207.0,5.0
208.0,0.0
209.0,0.0
210.0,0.0
211.0,2.0
212.0,0.0
213.0,0.0
214.0,0.0
215.0,0.0
216.0,0.0
217.0,0.0
219.0,0.0
220.0,0.0
221.0,0.0
222.0,0.0
223.0,0.0
224.0,0.0
225.0,0.0
226.0,0.0
227.0,0.0
228.0,0.0
230.0,0.0
231.0,0.0
233.0,0.0
234.0,0.0
238.0,1.0
239.0,8.0
241.0,0.0
245.0,0.0
246.0,0.0
247.0,1.0
248.0,0.0
249.0,0.0
250.0,9.0
251.0,6.0
252.0,6.0
253.0,0.0
254.0,0.0
255.0,6.0
256.0,0.0
257.0,0.0
259.0,5.0
260.0,0.0
261.0,0.0
262.0,0.0
264.0,0.0
265.0,1.0
266.0,0.0
268.0,0.0
269.0,2.0
270.0,0.0
271.0,11.0
272.0,0.0
273.0,0.0
275.0,0.0
276.0,0.0
277.0,0.0
278.0,2.0
279.0,5.0
280.0,1.0
281.0,1.0
